"","school","year","coverage","participation","district","grades","enrolled","mn.class.size","per.Not.reported","per.NativeAmer","per.Asian","per.PI","per.Filipino","per.Hispanic","per.AfAmer","per.White","per.Twoplus","per.not_hsg","per.hsg","per.some_col","per.col_grad","per.grad_sch","per.englearn","per.freelunch","API13","API12","mean.cst.ela","per.adv.ela","per.basic.ela","mean.cst.m","per.adv.m","per.basic.m"
"1","Allendale Elementary","2014-15",0.626016260162602,0.08,"Oakland Unified","K-5",425,26.5625,0.705882352941177,0.235294117647059,9.41176470588235,1.41176470588235,3.52941176470588,43.7647058823529,36.4705882352941,2.82352941176471,1.64705882352941,27,33,27,12,3,41.1764705882353,79.91,663,725,329.625,8.75,38.5,333.425,10.75,29
"2","Bella Vista Elementary","2014-15",0.657718120805369,0.25,"Oakland Unified","K-5",525,21.875,0.19047619047619,0.19047619047619,46.0952380952381,0.571428571428571,0.952380952380952,21.9047619047619,23.2380952380952,5.33333333333333,1.52380952380952,24,31,24,15,5,42.2857142857143,75.33,813,849,369.825,29.75,22.75,422.575,53.5,12
"3","Brookfield Elementary","2014-15",0.653061224489796,0.18,"Oakland Unified","K-5",367,16.6818181818182,0.272479564032698,0.272479564032698,3.54223433242507,3.26975476839237,0.544959128065395,64.3051771117166,25.3405994550409,1.08991825613079,1.36239782016349,41,33,15,8,2,58.0381471389646,66.21,687,738,329.675,8.25,44,351.575,18.25,22.5
"4","Burckhalter Elementary","2014-15",0.5125,0.1,"Oakland Unified","K-5",298,22.9230769230769,1.34228187919463,0,7.04697986577181,2.68456375838926,0.671140939597315,11.744966442953,68.7919463087248,3.35570469798658,4.36241610738255,12,22,40,20,6,11.744966442953,71.81,769,808,358.95,22.5,30.75,390.775,39,21
"5","Carl B. Munck Elementary","2014-15",0.653846153846154,0.11,"Oakland Unified","K-5",321,26.6666666666667,0.623052959501558,4.98442367601246,3.42679127725857,2.49221183800623,0.934579439252336,17.4454828660436,58.2554517133956,6.23052959501558,5.60747663551402,6,16,38,23,17,9.65732087227414,58.57,801,820,362.175,26.5,27.75,397.225,40,19.25
"6","Community United Elementary","2014-15",0.586387434554974,0.21,"Oakland Unified","K-5",396,24.75,1.01010101010101,0.252525252525253,2.77777777777778,0.505050505050505,0,68.9393939393939,24.7474747474747,1.01010101010101,0.757575757575758,62,23,10,2,3,64.1414141414141,100,700,700,323.875,9.75,35.75,343.675,16,31.25
"7","East Oakland Pride Elementary","2014-15",0.465909090909091,0.19,"Oakland Unified","K-5",472,24.8421052631579,0.847457627118644,0.211864406779661,1.0593220338983,1.48305084745763,0,69.0677966101695,26.0593220338983,1.0593220338983,0.211864406779661,50,26,14,8,2,60.5932203389831,100,668,660,316.525,8.25,28.75,345.975,19.75,23.25
"8","Emerson Elementary","2014-15",0.75,0.13,"Oakland Unified","K-5",324,23.1428571428571,1.23456790123457,0.617283950617284,6.17283950617284,0.925925925925926,1.85185185185185,20.679012345679,59.2592592592593,5.8641975308642,3.39506172839506,14,28,32,17,10,14.1975308641975,68.83,696,759,336.875,12.25,27.75,347.25,19,28.25
"9","EnCompass Academy Elementary","2014-15",0.543859649122807,0.2,"Oakland Unified","K-5",312,26,0.32051282051282,0.641025641025641,1.28205128205128,1.28205128205128,0,72.7564102564102,20.1923076923077,2.88461538461538,0.641025641025641,44,30,15,7,4,58.974358974359,100,746,805,348.4,14.5,37,382.9,32,21
"10","Franklin Elementary","2014-15",0.579124579124579,0.27,"Oakland Unified","K-5",770,22,0.649350649350649,0.649350649350649,54.2857142857143,0.779220779220779,0.38961038961039,27.6623376623377,11.4285714285714,2.85714285714286,1.2987012987013,34,30,22,11,3,57.9220779220779,76.82,814,814,351.55,22,28.25,381.075,32.75,16.5
"11","Fruitvale Elementary","2014-15",0.597826086956522,0.27,"Oakland Unified","K-5",436,24.2222222222222,1.8348623853211,0.688073394495413,15.1376146788991,0.229357798165138,2.52293577981651,41.0550458715596,32.7981651376147,4.58715596330275,1.14678899082569,27,37,22,11,3,44.0366972477064,77.27,703,744,339.1,17.25,35,368.625,31,23
"12","Garfield Elementary","2014-15",0.541850220264317,0.14,"Oakland Unified","K-5",582,21.5555555555556,0,0.515463917525773,30.0687285223368,0.859106529209622,1.3745704467354,47.0790378006873,17.1821305841924,2.06185567010309,0.859106529209622,55,25,15,4,1,58.0756013745705,87.48,720,734,329.8,12,39.5,364.075,25.75,26.75
"13","Grass Valley Elementary","2014-15",0.590163934426229,0.11,"Oakland Unified","K-5",259,17.2666666666667,1.93050193050193,0,2.7027027027027,0.386100386100386,0,16.2162162162162,74.9034749034749,1.93050193050193,1.93050193050193,9,19,47,16,9,11.5830115830116,57.53,769,777,345.4,16.75,31.25,371.075,26.5,24.25
"14","Horace Mann Elementary","2014-15",0.592592592592593,0.13,"Oakland Unified","K-5",355,20.8823529411765,2.25352112676056,0,4.7887323943662,9.57746478873239,0.845070422535211,40.8450704225352,38.0281690140845,2.53521126760563,1.12676056338028,36,31,24,5,4,34.9295774647887,76.54,739,796,348.425,16,35,392.25,36,22
"15","Joaquin Miller Elementary","2014-15",0.717791411042945,0.25,"Oakland Unified","K-5",421,26.3125,1.18764845605701,0,8.07600950118765,0,1.66270783847981,12.5890736342043,17.3396674584323,52.7315914489311,6.41330166270784,1,5,8,35,51,5.22565320665083,14.25,908,923,412.65,64.5,10.25,444.35,62,11
"16","Kaiser Elementary","2014-15",0.585365853658537,0.26,"Oakland Unified","K-5",271,24.6363636363636,1.4760147601476,0.738007380073801,7.01107011070111,0.3690036900369,0.738007380073801,12.1771217712177,27.6752767527675,38.0073800738007,11.8081180811808,1,0,16,39,44,3.690036900369,13.28,856,844,382.75,38.75,20.25,390.175,38,21
"17","Laurel Elementary","2014-15",0.616279069767442,0.15,"Oakland Unified","K-5",533,24.2272727272727,1.68855534709193,0.187617260787992,31.3320825515947,1.31332082551595,0.187617260787992,22.3264540337711,34.8968105065666,4.8780487804878,3.18949343339587,13,33,27,17,9,32.6454033771107,64.92,798,828,360.725,25,27.25,387.325,36,20.5
"18","Markham Elementary","2014-15",0.643939393939394,0.3,"Oakland Unified","K-5",361,19,0.831024930747922,0.554016620498615,1.10803324099723,2.77008310249307,0,56.2326869806094,36.01108033241,0.554016620498615,1.93905817174515,43,27,20,7,3,43.7673130193906,88.59,749,754,341.475,13.5,32,349.65,15.5,26.5
"19","Reach Academy","2014-15",0.75,0.11,"Oakland Unified","K-5",339,24.2857142857143,0.884955752212389,0,5.89970501474926,2.94985250737463,0.294985250737463,40.7079646017699,46.6076696165192,1.17994100294985,1.47492625368732,34,30,27,7,3,35.9882005899705,81.98,628,625,304.525,5.5,27.5,315.225,5.5,34.25
"20","Rise Community","2014-15",0.578947368421053,0.13,"Oakland Unified","K-5",325,23.2142857142857,0.923076923076923,0,1.23076923076923,0.615384615384615,0.307692307692308,66.4615384615385,29.2307692307692,0.615384615384615,0.615384615384615,45,36,15,3,2,56.3076923076923,100,556,654,317.875,7.25,30.75,325.4,10,27
"21","Think College Now","2014-15",0.431506849315068,0.15,"Oakland Unified","K-5",290,24.1666666666667,0.344827586206897,0.344827586206897,6.55172413793103,0,0,83.448275862069,7.24137931034483,1.37931034482759,0.689655172413793,34,33,15,14,5,61.7241379310345,90.64,849,825,360.625,24.5,33,402.425,43.25,14.5
"22","Allendale Elementary","2015-16",0.723577235772358,0.1,"Oakland Unified","K-5",425,26.5625,0.705882352941177,0.235294117647059,9.41176470588235,1.41176470588235,3.52941176470588,43.7647058823529,36.4705882352941,2.82352941176471,1.64705882352941,27,33,27,12,3,41.1764705882353,79.91,663,725,329.625,8.75,38.5,333.425,10.75,29
"23","Bella Vista Elementary","2015-16",0.711409395973154,0.24,"Oakland Unified","K-5",525,21.875,0.19047619047619,0.19047619047619,46.0952380952381,0.571428571428571,0.952380952380952,21.9047619047619,23.2380952380952,5.33333333333333,1.52380952380952,24,31,24,15,5,42.2857142857143,75.33,813,849,369.825,29.75,22.75,422.575,53.5,12
"24","Brookfield Elementary","2015-16",0.76530612244898,0.24,"Oakland Unified","K-5",367,16.6818181818182,0.272479564032698,0.272479564032698,3.54223433242507,3.26975476839237,0.544959128065395,64.3051771117166,25.3405994550409,1.08991825613079,1.36239782016349,41,33,15,8,2,58.0381471389646,66.21,687,738,329.675,8.25,44,351.575,18.25,22.5
"25","Burckhalter Elementary","2015-16",0.575,0.18,"Oakland Unified","K-5",298,22.9230769230769,1.34228187919463,0,7.04697986577181,2.68456375838926,0.671140939597315,11.744966442953,68.7919463087248,3.35570469798658,4.36241610738255,12,22,40,20,6,11.744966442953,71.81,769,808,358.95,22.5,30.75,390.775,39,21
"26","Carl B. Munck Elementary","2015-16",0.692307692307692,0.08,"Oakland Unified","K-5",321,26.6666666666667,0.623052959501558,4.98442367601246,3.42679127725857,2.49221183800623,0.934579439252336,17.4454828660436,58.2554517133956,6.23052959501558,5.60747663551402,6,16,38,23,17,9.65732087227414,58.57,801,820,362.175,26.5,27.75,397.225,40,19.25
"27","Community United Elementary","2015-16",0.680628272251309,0.23,"Oakland Unified","K-5",396,24.75,1.01010101010101,0.252525252525253,2.77777777777778,0.505050505050505,0,68.9393939393939,24.7474747474747,1.01010101010101,0.757575757575758,62,23,10,2,3,64.1414141414141,100,700,700,323.875,9.75,35.75,343.675,16,31.25
"28","East Oakland Pride Elementary","2015-16",0.625,0.25,"Oakland Unified","K-5",472,24.8421052631579,0.847457627118644,0.211864406779661,1.0593220338983,1.48305084745763,0,69.0677966101695,26.0593220338983,1.0593220338983,0.211864406779661,50,26,14,8,2,60.5932203389831,100,668,660,316.525,8.25,28.75,345.975,19.75,23.25
"29","Emerson Elementary","2015-16",0.916666666666667,0.11,"Oakland Unified","K-5",324,23.1428571428571,1.23456790123457,0.617283950617284,6.17283950617284,0.925925925925926,1.85185185185185,20.679012345679,59.2592592592593,5.8641975308642,3.39506172839506,14,28,32,17,10,14.1975308641975,68.83,696,759,336.875,12.25,27.75,347.25,19,28.25
"30","EnCompass Academy Elementary","2015-16",0.614035087719298,0.27,"Oakland Unified","K-5",312,26,0.32051282051282,0.641025641025641,1.28205128205128,1.28205128205128,0,72.7564102564102,20.1923076923077,2.88461538461538,0.641025641025641,44,30,15,7,4,58.974358974359,100,746,805,348.4,14.5,37,382.9,32,21
"31","Franklin Elementary","2015-16",0.69023569023569,0.36,"Oakland Unified","K-5",770,22,0.649350649350649,0.649350649350649,54.2857142857143,0.779220779220779,0.38961038961039,27.6623376623377,11.4285714285714,2.85714285714286,1.2987012987013,34,30,22,11,3,57.9220779220779,76.82,814,814,351.55,22,28.25,381.075,32.75,16.5
"32","Fruitvale Elementary","2015-16",0.717391304347826,0.32,"Oakland Unified","K-5",436,24.2222222222222,1.8348623853211,0.688073394495413,15.1376146788991,0.229357798165138,2.52293577981651,41.0550458715596,32.7981651376147,4.58715596330275,1.14678899082569,27,37,22,11,3,44.0366972477064,77.27,703,744,339.1,17.25,35,368.625,31,23
"33","Garfield Elementary","2015-16",0.674008810572687,0.21,"Oakland Unified","K-5",582,21.5555555555556,0,0.515463917525773,30.0687285223368,0.859106529209622,1.3745704467354,47.0790378006873,17.1821305841924,2.06185567010309,0.859106529209622,55,25,15,4,1,58.0756013745705,87.48,720,734,329.8,12,39.5,364.075,25.75,26.75
"34","Grass Valley Elementary","2015-16",0.557377049180328,0.09,"Oakland Unified","K-5",259,17.2666666666667,1.93050193050193,0,2.7027027027027,0.386100386100386,0,16.2162162162162,74.9034749034749,1.93050193050193,1.93050193050193,9,19,47,16,9,11.5830115830116,57.53,769,777,345.4,16.75,31.25,371.075,26.5,24.25
"35","Horace Mann Elementary","2015-16",0.740740740740741,0.18,"Oakland Unified","K-5",355,20.8823529411765,2.25352112676056,0,4.7887323943662,9.57746478873239,0.845070422535211,40.8450704225352,38.0281690140845,2.53521126760563,1.12676056338028,36,31,24,5,4,34.9295774647887,76.54,739,796,348.425,16,35,392.25,36,22
"36","Joaquin Miller Elementary","2015-16",0.705521472392638,0.28,"Oakland Unified","K-5",421,26.3125,1.18764845605701,0,8.07600950118765,0,1.66270783847981,12.5890736342043,17.3396674584323,52.7315914489311,6.41330166270784,1,5,8,35,51,5.22565320665083,14.25,908,923,412.65,64.5,10.25,444.35,62,11
"37","Kaiser Elementary","2015-16",0.585365853658537,0.49,"Oakland Unified","K-5",271,24.6363636363636,1.4760147601476,0.738007380073801,7.01107011070111,0.3690036900369,0.738007380073801,12.1771217712177,27.6752767527675,38.0073800738007,11.8081180811808,1,0,16,39,44,3.690036900369,13.28,856,844,382.75,38.75,20.25,390.175,38,21
"38","Laurel Elementary","2015-16",0.697674418604651,0.19,"Oakland Unified","K-5",533,24.2272727272727,1.68855534709193,0.187617260787992,31.3320825515947,1.31332082551595,0.187617260787992,22.3264540337711,34.8968105065666,4.8780487804878,3.18949343339587,13,33,27,17,9,32.6454033771107,64.92,798,828,360.725,25,27.25,387.325,36,20.5
"39","Markham Elementary","2015-16",0.71969696969697,0.2,"Oakland Unified","K-5",361,19,0.831024930747922,0.554016620498615,1.10803324099723,2.77008310249307,0,56.2326869806094,36.01108033241,0.554016620498615,1.93905817174515,43,27,20,7,3,43.7673130193906,88.59,749,754,341.475,13.5,32,349.65,15.5,26.5
"40","Reach Academy","2015-16",0.625,0.18,"Oakland Unified","K-5",339,24.2857142857143,0.884955752212389,0,5.89970501474926,2.94985250737463,0.294985250737463,40.7079646017699,46.6076696165192,1.17994100294985,1.47492625368732,34,30,27,7,3,35.9882005899705,81.98,628,625,304.525,5.5,27.5,315.225,5.5,34.25
"41","Rise Community","2015-16",0.666666666666667,0.15,"Oakland Unified","K-5",325,23.2142857142857,0.923076923076923,0,1.23076923076923,0.615384615384615,0.307692307692308,66.4615384615385,29.2307692307692,0.615384615384615,0.615384615384615,45,36,15,3,2,56.3076923076923,100,556,654,317.875,7.25,30.75,325.4,10,27
